   6.5730345845222471e-01	   7.6580514013767242e-01	   8.7878717269216267e-01	   8.6629215698835627e-01	   9.6464561608606925e-01	
   9.3327671885490415e-01	   7.8257385194301610e-01	   8.8450886947768070e-01	   9.9317489528080949e-01	   1.0831984432656803e+00	
   1.4970005869865417e+00	   8.5767740011215210e-01	   9.4059569069317406e-01	   1.0133906212696342e+00	   1.1607972325865397e+00	
   5.8782789409160618e-01	   7.7110895514488220e-01	   7.2769895408834728e-01	   9.2937702999885430e-01	   1.0343938911107848e+00	
   1.2573257803916931e+00	   8.9521834254264832e-01	   8.5590023228100365e-01	   9.5223049611243615e-01	   1.0085460989323551e+00	
   7.8339273333549497e-01	   8.2322348952293400e-01	   8.6115364091736935e-01	   9.7385724069119539e-01	   1.0731934084940538e+00	
   9.5560077428817747e-01	   7.9259715378284457e-01	   7.2976951088224140e-01	   9.3188902567828069e-01	   1.0653309048685378e+00	
   4.9969200938940050e-01	   8.3734619915485387e-01	   8.1827160290309364e-01	   9.5987019013353181e-01	   1.0300334803286926e+00	
   6.1132673770189283e-01	   9.0210055708885195e-01	   8.6958595684596474e-01	   1.0053356481821776e+00	   1.1896771704505584e+00	
   6.8779734969139095e-01	   8.1522074639797215e-01	   7.8542830901486538e-01	   1.0104756898136900e+00	   1.1965205972980641e+00	
   6.8744441866874695e-01	   7.3651769161224367e-01	   7.7263332264763973e-01	   9.6168115139983623e-01	   1.0296273993590250e+00	
   1.0130460441112519e+00	   8.7707503139972687e-01	   1.0638379667486464e+00	   9.8925124254346086e-01	   1.2384312835083398e+00	
   1.0143183231353761e+00	   7.4638737440109248e-01	   8.0120198215757099e-01	   8.2495961987054311e-01	   9.5367953630597269e-01	
   6.4018072187900543e-01	   9.2153483629226685e-01	   9.1043476973261150e-01	   9.9061323703230075e-01	   1.1015397144686840e+00	
   6.2308353185653687e-01	   8.0606759935617445e-01	   8.6717613680022099e-01	   9.6599939954853475e-01	   1.0731608374831911e+00	
   1.1738586425781250e+00	   8.4668453633785246e-01	   7.9519012783254894e-01	   9.9898794521150636e-01	   1.0634036396626843e+00	
   1.5211708545684814e+00	   8.6320001780986788e-01	   8.2028390254293171e-01	   9.1876591195445911e-01	   1.0940343245983362e+00	
   1.7380846261978149e+00	   8.0449467748403547e-01	   7.2956222721508568e-01	   8.6301742322319985e-01	   9.9694597192541634e-01	
   1.1562682509422302e+00	   8.1555002927780151e-01	   5.6073828893048427e-01	   8.7688433566826141e-01	   9.4285115840129052e-01	
   3.8349536061286926e-01	   8.4723773300647731e-01	   7.8884955602032802e-01	   9.8099052097453165e-01	   1.1154385573370662e+00	
   1.2973930478096007e+00	   7.9965242594480512e-01	   7.8378170515809742e-01	   9.0443332751554040e-01	   1.0462632789483446e+00	
   6.9777474701404574e-01	   6.8368786871433262e-01	   7.2011796491486690e-01	   9.1656768046091741e-01	   9.2675142435129276e-01	
   6.7015336155891414e-01	   7.9219795167446139e-01	   7.6786000388009212e-01	   9.4169297870218049e-01	   1.0440152524825828e+00	
